,Unnamed: 0,Height,Width,Area,Perimeter,A/P,A/(A+P),A/(W*H),Diameter,Label
0,0,79.30952023559341,26.0768096208106,1624.5,185.2964630126953,8.767031888183963,0.8976147501668559,0.7854886908163321,45.47941996576333,0
1,1,54.57105459856901,24.738633753705958,966.5,133.15432786941528,7.258494826753575,0.8789125596155273,0.7159188551573354,35.07970951970006,0
2,2,74.06078584514209,26.627053911388696,1424.5,176.40916121006012,8.074977457116129,0.8898068888076573,0.7223555601833767,42.58790592967961,0
3,3,67.72001181334805,28.16025568065745,1473.5,170.61017143726352,8.63664802389483,0.8962294775610335,0.7726743960005666,43.31418323329279,0
4,4,66.18912297349165,24.59674775249769,1261.5,161.09545290470126,7.830761062798351,0.8867594771403414,0.7748594624543311,40.077321338674906,0
5,5,70.0,28.0,1494.0,171.88224971294403,8.69199700664315,0.8968220894708724,0.7622448979591837,43.614445770115346,0
6,6,66.40783086353596,28.79236009777593,1459.0,166.36753046512604,8.769740080416927,0.8976431315706687,0.7630600767369231,43.10053939069211,0
7,7,71.06335201775947,23.430749027719962,1310.0,168.65180206298828,7.7674829677226915,0.88594217933682,0.7867548600398918,40.84046772017998,0
8,8,66.06814663663572,27.018512172212592,1391.5,163.63960921764377,8.503442452916635,0.8947749718110728,0.7795242975824594,42.09171921529197,0
9,9,51.0,19.0,725.0,143.5979789495468,5.048817576010098,0.8346784330269691,0.7481940144478845,30.38253889873249,0
10,10,77.20103626247513,22.13594362117865,1283.5,177.43859899044037,7.233488132247648,0.8785447936600096,0.7510601214187059,40.425276197789685,0
11,11,70.178344238091,27.07397274136177,1509.5,174.46803641319275,8.652014609856959,0.8963946864544976,0.7944709332771543,43.84010826603565,0
12,12,72.83543093852056,25.45584412271571,1429.5,173.37972390651703,8.244908734372876,0.8918323556530129,0.7709992625241998,42.662582308141104,0
13,13,83.0963296421689,22.803508501982762,1351.0,186.45079123973846,7.245879682338724,0.8787273112725825,0.7129709514164223,41.47465038957176,0
14,14,57.3149195236284,21.93171219946131,1011.0,142.16652143001556,7.1113788944866725,0.8767163988998588,0.8042867802963175,35.878199226372125,0
15,15,72.44308110509934,27.07397274136177,1430.5,171.29646289348602,8.351018905098469,0.8930597820249546,0.7293549951053575,42.67750190373905,0
16,16,70.43436661176133,20.615528128088304,1163.0,166.30865621566772,6.993021448575901,0.8748908649334142,0.8009412038076156,38.48087304787918,0
17,17,57.24508712544685,26.83281572999748,1147.5,144.12488996982574,7.961844760056661,0.8884158310287805,0.7470475147669655,38.22358404942686,1
18,18,66.61080993352356,26.305892875931807,1262.0,163.0538226366043,7.739775612698152,0.8855805864687092,0.7202140565472134,40.08526294607253,0
